bnumber	Site
b0692	TU00360
b0693	TU00360
b0694	TU00292
b0695	TU00292
b0696	TU00035
b0697	TU00035
b0698	TU00035
b0699	TU0-13025
b0700	TU0-13026
b0702	TU0-13026
b0704	TU0-13027
b0705	TU0-13029
b0706	TU0-13030
b0707	TU0-14679
b0707	TU362
b0708	TU0-14679
b0708	TU362
b0708	TU365
b0709	TU0-8563
b0710	TU0-8454
b0710	TU0-8455
b0711	TU0-8454
b0711	TU0-8455
b0712	TU0-8454
b0712	TU0-8455
b0713	TU0-8454
b0713	TU0-8455
b0714	TU0-44220
b0714	TU0-8454
b0714	TU0-8455
b0715	TU0-13031
b0716	TU0-13032
b0717	TU0-13032
b0718	TU0-13032
b0719	TU0-13033
b0720	TU00106
b0720	TU00416
b0721	TU00524
b0722	TU0-6702
b0722	TU00524
b0723	TU0-6702
b0723	TU00524
b0724	TU0-6702
b0724	TU00524
b0726	TU0-42509
b0726	TU00103
b0726	TU00524
b0727	TU0-42509
b0727	TU00103
b0727	TU00524
b0728	TU00103
b0728	TU00524
b0729	TU00103
b0729	TU00524
b0730	TU00408
b0731	TU0-4482
b0732	TU0-44203
b0732	TU0-44204
b0732	TU0-4482
b0733	TU0-3161
b0733	TU0-3162
b0733	TU0-3163
b0733	TU00100
b0733	TU358
b0734	TU0-3161
b0734	TU0-3162
b0734	TU0-3163
b0734	TU00100
b0734	TU358
b0735	TU0-14366
b0736	TU00367
b0737	TU00367
b0738	TU00367
b0739	TU00367
b0740	TU21
b0741	TU21
b0742	TU21
b0743	TU00492
b0744	TU00492
b0745	TU00492
b0746	TU0-13034
b0747	TU0-13034
b0748	TU0-13035
b0749	TU0-13036
b0750	TU0-13037
b0751	TU0-13037
b0752	TU0-13038
b0753	TU0-13039
b0754	TU00009
b0755	TU0-14819
b0755	TU0-3382
b0755	TU0-45233
b0755	TU0-45252
b0756	TU0-45179
b0756	TU0-4545
b0756	TU00025
b0756	TU00026
b0757	TU0-42583
b0757	TU0-42584
b0757	TU0-42588
b0757	TU0-45176
b0757	TU0-45179
b0757	TU0-4545
b0757	TU00025
b0757	TU00026
b0758	TU0-42581
b0758	TU0-42582
b0758	TU0-42583
b0758	TU0-42584
b0758	TU0-45176
b0758	TU0-45177
b0758	TU0-45179
b0758	TU0-4545
b0758	TU00025
b0758	TU00026
b0759	TU0-42578
b0759	TU0-42580
b0759	TU0-42581
b0759	TU0-42582
b0759	TU0-42583
b0759	TU0-42584
b0759	TU0-45176
b0759	TU0-45177
b0759	TU0-45178
b0759	TU0-45179
b0759	TU0-4545
b0759	TU00025
b0759	TU00026
b0760	TU0-13040
b0761	TU0-13040
b0762	TU0-13041
b0763	TU0-14276
b0763	TU00301
b0764	TU0-14276
b0764	TU00301
b0765	TU0-14276
b0765	TU00301
b0766	TU0-8564
b0767	TU0-8101
b0768	TU0-8565
b0769	TU0-13042
b0770	TU0-13043
b0771	TU0-13044
b0772	TU0-13045
b0773	TU0-13046
b0774	TU00013
b0775	TU00117
b0776	TU00117
b0777	TU00117
b0778	TU00117
b0779	TU0-14730
b0779	TU0-7044
b0779	TU00070
b0780	TU0-6363
b0781	TU0-1123
b0781	TU00300
b0782	TU0-1123
b0782	TU0-7262
b0782	TU00300
b0783	TU0-1123
b0783	TU0-7262
b0783	TU00300
b0784	TU0-1123
b0784	TU0-7262
b0784	TU00300
b0785	TU0-1123
b0785	TU0-7262
b0785	TU00300
b0786	TU0-13047
b0787	TU0-13048
b0788	TU0-13049
b0789	TU0-13049
b0790	TU0-13049
b0791	TU0-8566
b0792	TU0-13050
b0793	TU0-13050
b0794	TU0-13050
b0795	TU0-13050
b0796	TU0-13050
b0797	TU0-8500
b0798	TU0-8567
b0799	TU0-6301
b0800	TU0-14368
b0800	TU0-6301
b0801	TU0-13051
b0802	TU0-13052
b0803	TU0-13053
b0804	TU0-13054
b0805	TU0-2521
b0806	TU0-13056
b0807	TU0-8568
b0808	TU0-13057
b0809	TU0-6649
b0809	TU0-8001
b0809	TU00172
b0810	TU0-6649
b0810	TU00172
b0811	TU0-6649
b0811	TU00172
b0812	TU0-45200
b0812	TU00176
b0813	TU0-13058
b0814	TU0-14688
b0814	TU0-8812
b0815	TU0-8569
b0817	TU0-13059
b0818	TU0-13059
b0819	TU0-8334
b0820	TU0-8503
b0821	TU0-13060
b0822	TU0-13061
b0823	TU0-13062
b0824	TU0-13062
b0825	TU0-8800
b0826	TU00302
b0827	TU00302
b0828	TU0-13063
b0829	TU0-13063
b0830	TU0-13063
b0831	TU0-13063
b0832	TU0-13063
b0833	TU0-13064
b0834	TU0-13064
b0835	TU0-8632
b0836	TU0-13065
b0837	TU0-13066
b0838	TU0-8633
b0839	TU0-8782
b0840	TU0-13067
b0841	TU0-7822
b0842	TU0-14699
b0842	TU423
b0843	TU0-13068
b0844	TU0-13069
b0845	TU0-13069
b0846	TU0-8671
b0847	TU0-13071
b0848	TU0-8672
b0849	TU721
b0850	TU0-2101
b0851	TU0-2101
b0852	TU0-2101
b0852	TU0-2121
b0853	TU0-14516
b0853	TU0-2101
b0853	TU0-2121
b0854	TU0-14459
b0854	TU00322
b0855	TU0-14459
b0855	TU00322
b0856	TU0-14459
b0856	TU00322
b0857	TU0-14459
b0857	TU00322
b0858	TU0-13072
b0859	TU0-13072
b0860	TU0-8161
b0861	TU0-14676
b0861	TU0-14677
b0861	TU0-14678
b0861	TU00240
b0862	TU0-14676
b0862	TU0-14677
b0862	TU0-14678
b0862	TU00240
b0863	TU0-14676
b0863	TU0-14677
b0863	TU0-14678
b0863	TU00240
b0864	TU0-14676
b0864	TU0-14677
b0864	TU0-14678
b0864	TU00240
b0865	TU0-8201
b0866	TU0-13073
b0867	TU0-13073
b0868	TU0-13074
b0869	TU0-13075
b0869	TU0-14618
b0870	TU0-13075
b0870	TU0-14618
