id	desc	pval	common_size	target_size
10089390	https://pubmed.ncbi.nlm.nih.gov/10089390	6.02e-04	2	2
24891446	https://pubmed.ncbi.nlm.nih.gov/24891446	6.02e-04	2	2
17209549	https://pubmed.ncbi.nlm.nih.gov/17209549	6.02e-04	2	2
2682645	https://pubmed.ncbi.nlm.nih.gov/2682645	6.02e-04	2	2
10428826	https://pubmed.ncbi.nlm.nih.gov/10428826	6.02e-04	2	2
18640291	https://pubmed.ncbi.nlm.nih.gov/18640291	6.02e-04	2	2
15690043	https://pubmed.ncbi.nlm.nih.gov/15690043	7.86e-04	18	454
18287020	https://pubmed.ncbi.nlm.nih.gov/18287020	1.02e-03	5	43
9514256	https://pubmed.ncbi.nlm.nih.gov/9514256	1.31e-03	3	12
6383359	https://pubmed.ncbi.nlm.nih.gov/6383359	1.31e-03	3	12
8096212	https://pubmed.ncbi.nlm.nih.gov/8096212	1.34e-03	2	3
2995306	https://pubmed.ncbi.nlm.nih.gov/2995306	1.34e-03	2	3
6328431	https://pubmed.ncbi.nlm.nih.gov/6328431	1.34e-03	2	3
22752906	https://pubmed.ncbi.nlm.nih.gov/22752906	1.34e-03	2	3
7592392	https://pubmed.ncbi.nlm.nih.gov/7592392	1.34e-03	2	3
8203917	https://pubmed.ncbi.nlm.nih.gov/8203917	1.34e-03	2	3
3005475	https://pubmed.ncbi.nlm.nih.gov/3005475	1.34e-03	2	3
3291870	https://pubmed.ncbi.nlm.nih.gov/3291870	1.34e-03	2	3
11133938	https://pubmed.ncbi.nlm.nih.gov/11133938	1.34e-03	2	3
3282546	https://pubmed.ncbi.nlm.nih.gov/3282546	1.34e-03	2	3
8422384	https://pubmed.ncbi.nlm.nih.gov/8422384	1.34e-03	2	3
17289666	https://pubmed.ncbi.nlm.nih.gov/17289666	1.34e-03	2	3
6370696	https://pubmed.ncbi.nlm.nih.gov/6370696	1.34e-03	2	3
1971621	https://pubmed.ncbi.nlm.nih.gov/1971621	1.34e-03	2	3
15169771	https://pubmed.ncbi.nlm.nih.gov/15169771	1.34e-03	2	3
8405928	https://pubmed.ncbi.nlm.nih.gov/8405928	1.34e-03	2	3
3928602	https://pubmed.ncbi.nlm.nih.gov/3928602	1.34e-03	2	3
2991885	https://pubmed.ncbi.nlm.nih.gov/2991885	1.34e-03	2	3
1699940	https://pubmed.ncbi.nlm.nih.gov/1699940	1.34e-03	2	3
7517939	https://pubmed.ncbi.nlm.nih.gov/7517939	1.34e-03	2	3
21941	https://pubmed.ncbi.nlm.nih.gov/21941	1.34e-03	2	3
7883769	https://pubmed.ncbi.nlm.nih.gov/7883769	1.34e-03	2	3
1551836	https://pubmed.ncbi.nlm.nih.gov/1551836	1.34e-03	2	3
3053170	https://pubmed.ncbi.nlm.nih.gov/3053170	1.34e-03	2	3
16313628	https://pubmed.ncbi.nlm.nih.gov/16313628	1.34e-03	2	3
1314802	https://pubmed.ncbi.nlm.nih.gov/1314802	1.34e-03	2	3
8649995	https://pubmed.ncbi.nlm.nih.gov/8649995	1.34e-03	2	3
4204273	https://pubmed.ncbi.nlm.nih.gov/4204273	1.34e-03	2	3
16621816	https://pubmed.ncbi.nlm.nih.gov/16621816	1.34e-03	2	3
6377309	https://pubmed.ncbi.nlm.nih.gov/6377309	1.34e-03	2	3
7616563	https://pubmed.ncbi.nlm.nih.gov/7616563	1.34e-03	2	3
24561554	https://pubmed.ncbi.nlm.nih.gov/24561554	1.68e-03	34	1219
8576043	https://pubmed.ncbi.nlm.nih.gov/8576043	2.03e-03	3	14
1556094	https://pubmed.ncbi.nlm.nih.gov/1556094	2.35e-03	2	4
8297211	https://pubmed.ncbi.nlm.nih.gov/8297211	2.35e-03	2	4
2668268	https://pubmed.ncbi.nlm.nih.gov/2668268	2.35e-03	2	4
17827303	https://pubmed.ncbi.nlm.nih.gov/17827303	2.35e-03	2	4
4357819	https://pubmed.ncbi.nlm.nih.gov/4357819	2.35e-03	2	4
4590473	https://pubmed.ncbi.nlm.nih.gov/4590473	2.35e-03	2	4
374339	https://pubmed.ncbi.nlm.nih.gov/374339	2.35e-03	2	4
4552985	https://pubmed.ncbi.nlm.nih.gov/4552985	2.35e-03	2	4
4550821	https://pubmed.ncbi.nlm.nih.gov/4550821	2.35e-03	2	4
2188954	https://pubmed.ncbi.nlm.nih.gov/2188954	2.35e-03	2	4
6294470	https://pubmed.ncbi.nlm.nih.gov/6294470	2.35e-03	2	4
9275160	https://pubmed.ncbi.nlm.nih.gov/9275160	2.35e-03	2	4
8845762	https://pubmed.ncbi.nlm.nih.gov/8845762	2.35e-03	2	4
8845761	https://pubmed.ncbi.nlm.nih.gov/8845761	2.35e-03	2	4
16319065	https://pubmed.ncbi.nlm.nih.gov/16319065	2.35e-03	2	4
6259116	https://pubmed.ncbi.nlm.nih.gov/6259116	2.35e-03	2	4
15899573	https://pubmed.ncbi.nlm.nih.gov/15899573	2.35e-03	2	4
18045419	https://pubmed.ncbi.nlm.nih.gov/18045419	2.35e-03	2	4
16448504	https://pubmed.ncbi.nlm.nih.gov/16448504	2.35e-03	2	4
14741201	https://pubmed.ncbi.nlm.nih.gov/14741201	2.35e-03	2	4
3045078	https://pubmed.ncbi.nlm.nih.gov/3045078	3.50e-03	3	17
16291677	https://pubmed.ncbi.nlm.nih.gov/16291677	3.50e-03	3	17
2656649	https://pubmed.ncbi.nlm.nih.gov/2656649	3.50e-03	3	17
16585748	https://pubmed.ncbi.nlm.nih.gov/16585748	3.50e-03	3	17
11157970	https://pubmed.ncbi.nlm.nih.gov/11157970	3.64e-03	2	5
18213409	https://pubmed.ncbi.nlm.nih.gov/18213409	3.64e-03	2	5
24037	https://pubmed.ncbi.nlm.nih.gov/24037	3.64e-03	2	5
12446648	https://pubmed.ncbi.nlm.nih.gov/12446648	3.64e-03	2	5
393800	https://pubmed.ncbi.nlm.nih.gov/393800	3.64e-03	2	5
16776655	https://pubmed.ncbi.nlm.nih.gov/16776655	3.64e-03	2	5
7635191	https://pubmed.ncbi.nlm.nih.gov/7635191	3.64e-03	2	5
17137328	https://pubmed.ncbi.nlm.nih.gov/17137328	5.18e-03	2	6
