organism,id1,id2,coexpression
511145,b0005,b3472,56
511145,b0005,b4536,54
511145,b0005,b3267,139
511145,b0005,b3191,58
511145,b0005,b3712,53
511145,b0005,b1283,58
511145,b0005,b1601,130
511145,b0005,b4367,56
511145,b0005,b2809,55
511145,b0005,b1743,132
511145,b0005,b1216,85
511145,b0005,b0986,73
511145,b0005,b4553,72
511145,b0005,b0985,58
511145,b0005,b0984,58
511145,b0005,b3014,58
511145,b0005,b2833,55
511145,b0005,b0412,58
511145,b0006,b2794,58
511145,b0006,b2615,57
511145,b0006,b0822,56
511145,b0006,b2495,59
511145,b0006,b0223,56
511145,b0006,b0844,56
511145,b0006,b3498,56
511145,b0006,b3961,56
511145,b0006,b3972,57
511145,b0006,b0577,56
511145,b0007,b1379,54
511145,b0007,b0809,141
511145,b0007,b0864,141
511145,b0007,b1014,169
511145,b0007,b1539,163
511145,b0007,b2463,356
511145,b0007,b0401,50
511145,b0007,b2370,78
511145,b0007,b4044,83
511145,b0007,b2587,245
511145,b0007,b0652,141
511145,b0007,b2179,122
511145,b0007,b0333,858
511145,b0007,b2924,56
511145,b0007,b2797,251
511145,b0007,b3660,53
511145,b0007,b4077,111
511145,b0007,b1814,251
511145,b0007,b3292,58
511145,b0007,b4471,251
511145,b0007,b3271,141
511145,b0007,b1015,399
511145,b0007,b3653,56
511145,b0007,b0720,858
511145,b0007,b3307,58
511145,b0007,b0852,109
511145,b0007,b2298,57
511145,b0007,b1037,58
511145,b0007,b2297,402
511145,b0007,b3578,58
511145,b0007,b3115,449
511145,b0007,b0815,58
511145,b0007,b1917,141
511145,b0007,b2975,207
511145,b0007,b4354,287
511145,b0007,b2292,56
511145,b0007,b4139,57
511145,b0007,b0154,244
511145,b0007,b1330,56
511145,b0007,b0713,171
511145,b0007,b2796,171
511145,b0007,b0598,287
511145,b0007,b0307,503
511145,b0007,b0308,171
511145,b0007,b1859,86
511145,b0007,b3528,111
511145,b0007,b2458,402
511145,b0007,b2296,449
511145,b0007,b3603,207
511145,b0008,b2930,42
511145,b0008,b2147,42
511145,b0008,b1479,205
511145,b0008,b3564,57
511145,b0008,b3956,74
511145,b0008,b2739,166
511145,b0008,b4177,200
511145,b0008,b1109,104
511145,b0008,b1692,52
511145,b0008,b1611,53
511145,b0008,b1260,78
511145,b0008,b3656,55
511145,b0008,b0508,166
511145,b0008,b4260,55
511145,b0008,b0724,56
511145,b0008,b2048,108
511145,b0008,b4267,73
511145,b0008,b0773,111
511145,b0008,b0084,57
511145,b0008,b2388,75
511145,b0008,b1776,73
511145,b0008,b3386,193
511145,b0008,b0963,51
511145,b0008,b2914,214
511145,b0008,b2416,99
511145,b0008,b3612,57
511145,b0008,b1215,141
511145,b0008,b0605,270
511145,b0008,b1781,56
511145,b0008,b0650,58
511145,b0008,b2029,641
511145,b0008,b3236,152
511145,b0008,b0115,66
511145,b0008,b0586,58
511145,b0008,b4085,58
511145,b0008,b4054,170
511145,b0008,b0608,147
511145,b0008,b0928,260
511145,b0008,b2478,125
511145,b0008,b2379,57
511145,b0008,b3732,112
511145,b0008,b1207,58
511145,b0008,b1866,124
511145,b0008,b4381,59
511145,b0008,b1779,94
511145,b0008,b2241,116
511145,b0008,b2584,56
511145,b0008,b0732,245
511145,b0008,b2400,130
511145,b0008,b1136,73
511145,b0008,b0638,56
511145,b0008,b2153,66
511145,b0008,b4301,58
511145,b0008,b2529,165
511145,b0008,b0888,459
511145,b0008,b0383,57
511145,b0008,b3345,55
511145,b0008,b3517,160
511145,b0008,b2329,58
511145,b0008,b3414,78
511145,b0008,b2779,218
511145,b0008,b2526,58
511145,b0008,b4025,243
511145,b0008,b2926,165
511145,b0008,b2935,309
511145,b0008,b3916,120
511145,b0008,b2097,56
511145,b0008,b3141,136
511145,b0008,b0759,116
511145,b0008,b3980,132
511145,b0008,b0172,132
511145,b0008,b4358,73
511145,b0008,b1302,56
511145,b0008,b0755,99
511145,b0008,b1774,73
511145,b0008,b3212,110
511145,b0008,b2913,59
511145,b0008,b0014,58
511145,b0008,b4232,84
511145,b0008,b0678,136
511145,b0008,b2905,56
511145,b0008,b1033,59
511145,b0008,b4167,258
511145,b0008,b2195,151
511145,b0008,b3281,52
511145,b0008,b0212,57
511145,b0008,b0688,282
511145,b0008,b3081,192
511145,b0008,b3847,59
511145,b0008,b2776,57
511145,b0008,b3962,136
511145,b0008,b1380,111
511145,b0008,b3925,42
511145,b0008,b0421,58
511145,b0008,b1780,56
511145,b0008,b0356,162
511145,b0008,b2290,57
511145,b0008,b0771,60
511145,b0008,b4395,56
511145,b0008,b4465,73
511145,b0008,b3731,121
511145,b0008,b2341,114
511145,b0008,b2938,123
511145,b0008,b2385,56
511145,b0008,b4226,279
511145,b0008,b1094,154
511145,b0008,b1732,166
511145,b0008,b2407,58
511145,b0008,b1387,57
511145,b0008,b0170,98
511145,b0008,b4069,56
511145,b0008,b3733,169
511145,b0008,b3939,58
511145,b0008,b0741,154
511145,b0008,b3149,53
511145,b0008,b3734,200
511145,b0008,b2465,270
511145,b0008,b0728,56
511145,b0008,b0168,88
511145,b0008,b3736,187
511145,b0008,b3718,136
511145,b0008,b1971,54
511145,b0008,b3080,127
511145,b0008,b3431,57
511145,b0008,b2523,55
511145,b0008,b0103,56
511145,b0008,b1580,73
511145,b0008,b3878,55
511145,b0008,b2320,59
511145,b0008,b2697,74
511145,b0008,b1276,60
511145,b0008,b1676,73
511145,b0008,b3908,116
511145,b0008,b1313,73
511145,b0008,b0720,58
511145,b0008,b2551,144
511145,b0008,b1697,124
511145,b0008,b2091,73
511145,b0008,b1761,55
511145,b0008,b3428,76
511145,b0008,b2908,56
511145,b0008,b2925,55
511145,b0008,b3988,85
511145,b0008,b0304,136
511145,b0008,b2927,94
511145,b0008,b3919,212
511145,b0008,b0116,199
511145,b0008,b4154,59
511145,b0008,b0545,111
511145,b0008,b1650,161
511145,b0008,b0979,42
511145,b0008,b3176,108
511145,b0008,b1854,73
511145,b0008,b2890,127
511145,b0008,b0600,57
511145,b0008,b3553,152
511145,b0008,b0734,42
511145,b0008,b2545,73
511145,b0008,b3500,136
511145,b0008,b0187,238
511145,b0008,b2518,59
511145,b0008,b3987,66
511145,b0008,b1493,160
511145,b0008,b1378,57
511145,b0008,b0436,231
511145,b0008,b3616,73
511145,b0008,b2069,58
511145,b0008,b3432,149
511145,b0008,b1651,238
511145,b0008,b1180,97
511145,b0008,b3187,58
511145,b0008,b1449,170
511145,b0008,b2415,138
511145,b0008,b2662,56
511145,b0008,b3403,56
511145,b0008,b0386,55
511145,b0008,b3426,116
511145,b0008,b0041,124
511145,b0008,b3781,87
511145,b0008,b1852,346
511145,b0008,b3846,114
511145,b0009,b0712,167
511145,b0009,b1764,56
511145,b0009,b3551,53
511145,b0009,b0781,56
511145,b0009,b3856,57
511145,b0009,b3591,73
511145,b0009,b2206,57
511145,b0009,b3368,73
511145,b0009,b3992,97
511145,b0009,b0761,57
511145,b0009,b3857,56
511145,b0009,b0711,167
511145,b0009,b3291,57
511145,b0009,b4401,56
511145,b0009,b0826,97
511145,b0009,b1501,53
511145,b0009,b1702,258
511145,b0009,b3894,53
511145,b0009,b2507,59
511145,b0009,b1813,56
511145,b0009,b0827,136
511145,b0009,b1223,80
511145,b0009,b3895,58
511145,b0009,b3706,59
511145,b0009,b1474,53
511145,b0009,b0784,56
511145,b0009,b1872,53
511145,b0009,b1136,227
511145,b0010,b2661,57
511145,b0010,b3945,158
511145,b0010,b1415,57
511145,b0010,b2182,57
511145,b0010,b4069,133
511145,b0010,b2835,57
511145,b0010,b1769,57
511145,b0010,b1596,57
511145,b0010,b0720,81
511145,b0010,b2536,57
511145,b0010,b1660,57
511145,b0010,b3710,57
511145,b0010,b0335,133
511145,b0010,b1241,102
511145,b0010,b2920,158
511145,b0010,b4232,175
511145,b0010,b0014,56
511145,b0010,b1828,57
511145,b0010,b2786,57
511145,b0010,b3673,57
511145,b0010,b1068,58
